document,page_scan,page_acceo,section,objet,quantite,um,retenu,note
relevé final Daniel.pdf,9,8,CHAUFFAGE (×6),conduit 1 07c10,180 (18s),P,hors,
relevé final Daniel.pdf,9,8,CHAUFFAGE (×6),conduit 1-1/4 09c10,90 (9s),P,hors,
relevé final Daniel.pdf,9,8,CHAUFFAGE (×6),conduit 1-1/4 15c10,70 (7s),P,hors,
relevé final Daniel.pdf,9,8,CHAUFFAGE (×6),drop de chauffage bx2/12,56,U,hors,
relevé final Daniel.pdf,9,8,CHAUFFAGE (×6),COUV CARRE 4PO VIERGE,70,U,hors,
relevé final Daniel.pdf,9,8,CHAUFFAGE (×6),BOITE CARRE 2-1/8PO KO 1,70,U,hors,
relevé final Daniel.pdf,9,8,CHAUFFAGE (×6),BOITE D 8X8X4PO CEMA1,5,U,hors,
relevé final Daniel.pdf,9,8,Sommaire CHAUFFAGE,Sous-total ×6 = total,97915.74,$,info,16319.29 $ × 6
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),FIXTURE TYPE A1,59,U,oui,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),FIXTURE TYPE B1,4,U,oui,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),FIXTURE TYPE C1,60,U,oui,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),FIXTURE TYPE C2,4,U,oui,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),FIXTURE TYPE E1,16,U,oui,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),FIXTURE TYPE C3,17,U,oui,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),FIXTURE TYPE D1,43,U,oui,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),ENSEIGNE SORTIE,18,U,oui,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),ONDULATEUR,2,U,oui,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),INT DECT,34,U,oui,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),DETECTEUR 360,2,U,oui,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),GRADATEUR,6,U,oui,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),interrupteur 15A 120V,7,U,oui,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),drop de switch,40,U,hors,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),alimentation d'éclairage 0-10 V,181,U,hors,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),BOITE OCTOG 1-1/2PO KO 1,63,U,hors,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),BOITE CARRE 2-1/8PO KO 1,75,U,hors,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),COUV CARRE 4PO VIERGE,75,U,hors,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),PARASYMIQUE,180,U,hors,
relevé final Daniel.pdf,9,8,ECLAIRAGE (×6),conduit 3/4 03c12,2250 (225s),P,hors,
relevé final Daniel.pdf,10,9,Sommaire ECLAIRAGE,Sous-total ×6 = total,111876.90,$,info,18646.15 $ × 6
relevé final Daniel.pdf,10,9,PRIX DE LOT,PRIX DE LOT DIXTRIBUTION,1,U,hors,0 $
relevé final Daniel.pdf,10,9,PRIX DE LOT,PRIX DE LOT TRANSFO,1,U,hors,
relevé final Daniel.pdf,10,9,PRIX DE LOT,PRIX DE LOT ECLAIRAGE,1,U,hors,
relevé final Daniel.pdf,10,9,PRIX DE LOT,PRIX DE LOT CONTROL ECL,1,U,hors,
relevé final Daniel.pdf,10,9,PRIX DE LOT,PRIX DE LOT CHAUFFAGE,1,U,hors,
relevé final Daniel.pdf,10,9,PRIX DE LOT,PRIX DE LOT ALARME INCE(NDIE),1,U,hors,
relevé final Daniel.pdf,10,9,DEMANDE PRIX COND ET FIL,CONDUIT PVC TYPE2 4po,3200,U,hors,
relevé final Daniel.pdf,10,9,DEMANDE PRIX COND ET FIL,CONDUIT PVC TYPE 2 3po,4750,U,hors,
relevé final Daniel.pdf,10,9,DEMANDE PRIX COND ET FIL,ELBIOW PVC TYPE 2 3po,42,U,hors,
relevé final Daniel.pdf,10,9,DEMANDE PRIX COND ET FIL,ELBOW PVC TYPE 2 4 po,10,U,hors,
relevé final Daniel.pdf,10,9,DEMANDE PRIX COND ET FIL,COUPLING PVC TYPE 2 4po,330,U,hors,
relevé final Daniel.pdf,10,9,DEMANDE PRIX COND ET FIL,COUPLING PVCTYPE 2 3po,517,U,hors,
relevé final Daniel.pdf,10,9,DEMANDE PRIX COND ET FIL,MONO BLOCK 4 po,1590,U,hors,
relevé final Daniel.pdf,10,9,DEMANDE PRIX COND ET FIL,FIL 500MCM CUIVRE,14560,U,hors,
relevé final Daniel.pdf,10,9,DEMANDE PRIX COND ET FIL,FIL 3 VERT,3640,U,hors,
relevé final Daniel.pdf,10,9,DEMANDE PRIX COND ET FIL,Nouvel item non listé 10,0,U,hors,
relevé final Daniel.pdf,10,9,DEMANDE PRIX COND ET FIL,Nouvel item non listé 11,0,U,hors,
relevé final Daniel.pdf,10,9,DEMANDE PRIX COND ET FIL,Nouvel item non listé 12,0,U,hors,
relevé final Daniel.pdf,11,10,Grands totaux,Coûtant / Prix de vente,2523413.18,$,info,Main-d'oeuvre 16796.428 h
