page_scan,page_acceo,section,objet,quantite,um,feuille_zone
8,7,LECTEUR DE CARTE,BOUTON GACHE,2,U,non indiqué (relevé global ACCEO)
8,7,LECTEUR DE CARTE,conduit vide 3/4 (395s),3950,P,non indiqué (relevé global ACCEO)
8,7,LECTEUR DE CARTE,conduit 3/4 03c12 (845s),8450,P,non indiqué (relevé global ACCEO)
8,7,LECTEUR DE CARTE,BOITE CARRE 2-1/8PO KO 1…,60,U,non indiqué (relevé global ACCEO)
8,7,LECTEUR DE CARTE,COUV CARRE 4PO VIERGE,60,U,non indiqué (relevé global ACCEO)
8,7,LECTEUR DE CARTE,BOITE D 8X8X4PO CEMA1,13,U,non indiqué (relevé global ACCEO)
9,8,COMMUNICATION,PRIX DE LOT CABLE STRUC[TURÉ],1,U,non indiqué (relevé global ACCEO)
9,8,COMMUNICATION,tel/data,91,U,non indiqué (relevé global ACCEO)
9,8,COMMUNICATION,WIFI,29,U,non indiqué (relevé global ACCEO)
9,8,COMMUNICATION,HDMI,42,U,non indiqué (relevé global ACCEO)
9,8,COMMUNICATION,conduit vide 3/4 (160s),1600,P,non indiqué (relevé global ACCEO)
9,8,URGENCE,PRIX DE LOT URGENCE,1,U,non indiqué (relevé global ACCEO)
9,8,URGENCE,LUMACELL LS1WU,21,U,non indiqué (relevé global ACCEO)
9,8,URGENCE,LUMACELL LS2WU,3,U,non indiqué (relevé global ACCEO)
9,8,URGENCE,LUMACELL MQM1LD19,34,U,non indiqué (relevé global ACCEO)
9,8,URGENCE,LUMACELL MDMLD19,23,U,non indiqué (relevé global ACCEO)
9,8,URGENCE,LUMACELL RG12S2001LD9-…,8,U,non indiqué (relevé global ACCEO)
9,8,URGENCE,BOITE OCTOG 1-1/2PO KO 1…,81,U,non indiqué (relevé global ACCEO)
9,8,URGENCE,BOITE CARRE 2-1/8PO KO 1…,20,U,non indiqué (relevé global ACCEO)
9,8,URGENCE,COUV CARRE 4PO VIERGE,20,U,non indiqué (relevé global ACCEO)
9,8,URGENCE,alimentation éclairage,89,U,non indiqué (relevé global ACCEO)
9,8,URGENCE,conduit 3/4 03c10 (230s),2300,P,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,CONTROL ECLAIRAGE,1,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,DETECTEUR MOUVEMENT…,83,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,INTERRUPTEUR B/V,16,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,GRADATEUR15A 1VOIE B/V,62,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,INTERRUPTEUR A DÉTECTE[UR],17,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,BLOCK ALIMENTATION INT I…,16,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,BLOCK ALIMENTATION GRA[DATEUR],62,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,PANDUIT UPPBU25 ZONE C…,80,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,PANDUIT UTPSP15BUY PAT…,83,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,PANDUIT UTP28SP3BU COP…,80,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,interrupteur 15A 120V,6,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,drop de switch,17,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,BOITE RECT 3-1/2PO 1G MA…,200,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,BOITE RECT 2-1/2PO OREILL…,78,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,COND TME 3/4PO,1140,P,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,CONN TME 3/4PO VIS ZINC,156,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,ACCOUPL TME 3/4PO VIS ZI…,78,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,COURR TME 3/4PO 1TROU…,78,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,BOITE OCTOG 1-1/2PO KO 1…,83,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,BOITE CARRE 2-1/8PO KO 1…,78,U,non indiqué (relevé global ACCEO)
10,9,CONTROL ECLAIRAGE,COUV CARRE 4PO VIERGE,78,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,COMAC L-100220004 COMA[C],6,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,prise duplex 20a 125v GFI,36,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,prise duplex 15/20A 120V,31,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,drop de prise,12,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,prise duplex 15A 120V,178,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,prise usb 125v 15 amp,12,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,THERMOPOMPE,33,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,SERPENTIN,22,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,PRISE POELE,1,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,PRISE SÉCHEUSE,1,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,PRISE GFI WP,3,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,PRISE TOIT,1,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,RACCORD DIRECT,12,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,EV-001,1,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,MOTEUR PANIER BASKET,2,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,RIDEAU DIVISEUR,1,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,CHAUFFEAU-EAU,2,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,30A 600V,58,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,MOTEUR PMP-003 7.5HP,4,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,VARIATEUR VITESSE,4,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,MOTEUR SPR-1,1,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,CHAUDIERE 200A 600V,1,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,MOTEUR PECD,1,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,THERMOPOMPE 600V,3,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,RECUPÉRATEUR CHALEUR,1,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,MOTEUR PMP 1/2 HP,2,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,D/M COMBINER 30A 600V 1/…,2,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,MONTE PERSONNE 100A 60…,1,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,VE-002,1,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,QUINCAILLERIE,1,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,ERICO CAT32HPAB CROCHE[T],400,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,COND TME 1-1/4PO,420,P,non indiqué (relevé global ACCEO)
11,10,SERVICE,COND TME 1-1/2PO,420,P,non indiqué (relevé global ACCEO)
11,10,SERVICE,COUDE TME 1-1/4PO 90D,42,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,COUDE TME 1-1/2PO 90D,42,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,CONN TME 11/4PO VIS ZINC,84,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,CONN TME 11/2PO VIS ZINC,84,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,ACCOUPL TME 1-1/4PO VIS,84,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,ACCOUPL TME 1-1/2PO VIS,84,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,COURR TME 1-1/4PO 1TROU,84,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,COURR TME 1-1/2PO 1TROU,84,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,EMBOUT 1-1/4PO PLAST (AI),84,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,EMBOUT 1-1/2PO PLAST (AI),84,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,3M 7100006311 COUPE FEU,1,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,COUPE FEU TUBE 10.1 FLO…,0,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,COUPE FEU TUBE 10.1 FL O…,0,U,non indiqué (relevé global ACCEO)
11,10,SERVICE,conduit 3/4 03c12 (165s),1650,P,non indiqué (relevé global ACCEO)
11,10,SERVICE,conduit 3/4 04c12 (88s),880,P,non indiqué (relevé global ACCEO)
11,10,SERVICE,conduit 3/4 05c12 (16s),160,P,non indiqué (relevé global ACCEO)
11,10,SERVICE,conduit 3/4 07c12 (42s),420,P,non indiqué (relevé global ACCEO)
11,10,SERVICE,conduit 3/4 03c10 (223s),2230,P,non indiqué (relevé global ACCEO)
11,10,SERVICE,conduit 3/4 04c10 (55s),550,P,non indiqué (relevé global ACCEO)
11,10,SERVICE,conduit 3/4 05c10 (97s),970,P,non indiqué (relevé global ACCEO)
12,11,SERVICE,conduit 1 04c08 (21s),210,P,non indiqué (relevé global ACCEO)
12,11,SERVICE,conduit 1 07c10 (12s),120,P,non indiqué (relevé global ACCEO)
12,11,SERVICE,conduit 1 13c12 (11s),110,P,non indiqué (relevé global ACCEO)
12,11,SERVICE,conduit 1 11c12 (8s),80,P,non indiqué (relevé global ACCEO)
12,11,SERVICE,"conduit 1""1/4 10c10 (26s)",260,P,non indiqué (relevé global ACCEO)
12,11,SERVICE,"conduit 1""1/4 13c10 (9s)",90,P,non indiqué (relevé global ACCEO)
12,11,SERVICE,"conduit 1""1/4 17c12 (9s)",90,P,non indiqué (relevé global ACCEO)
12,11,SERVICE,"conduit 1""1/4 21c12 (10s)",110,P,non indiqué (relevé global ACCEO)
12,11,SERVICE,conduit 2 31c12 (23s),230,P,non indiqué (relevé global ACCEO)
12,11,SERVICE,conduit 2 31c10 (26s),260,P,non indiqué (relevé global ACCEO)
12,11,SERVICE,conduit 2 28c10 (15s),150,P,non indiqué (relevé global ACCEO)
12,11,SERVICE,BOITE CARRE 2-1/8PO KO 1…,180,U,non indiqué (relevé global ACCEO)
12,11,SERVICE,COUV CARRE 4PO VIERGE,180,U,non indiqué (relevé global ACCEO)
12,11,SERVICE,BOITE D 8X8X4PO CEMA1,20,U,non indiqué (relevé global ACCEO)
12,11,SERVICE,BOITE D 12X12X4PO CEMA1,12,U,non indiqué (relevé global ACCEO)
12,11,SERVICE,conduit pvc 3/4 3c12 (25s),250,P,non indiqué (relevé global ACCEO)
12,11,HORLOGE,PRIX DE LOT HORLOGE,1,U,non indiqué (relevé global ACCEO)
12,11,HORLOGE,HORLOGE,29,U,non indiqué (relevé global ACCEO)
12,11,HORLOGE,HORLOGE 2 FACE,4,U,non indiqué (relevé global ACCEO)
12,11,HORLOGE,GRILLAGE HORLOGE,2,U,non indiqué (relevé global ACCEO)
12,11,HORLOGE,conduit vide 3/4 (120s),1200,P,non indiqué (relevé global ACCEO)
12,11,HORLOGE,COUV CARRE 4PO VIERGE,33,U,non indiqué (relevé global ACCEO)
12,11,HORLOGE,BOITE CARRE 2-1/8PO KO 1…,33,U,non indiqué (relevé global ACCEO)
13,12,INTERCOM,PRIX DE LOT INTERCOMME…,1,U,non indiqué (relevé global ACCEO)
13,12,INTERCOM,INTERCOM,29,U,non indiqué (relevé global ACCEO)
13,12,INTERCOM,HAUT PARLEUR,38,U,non indiqué (relevé global ACCEO)
13,12,INTERCOM,GRILLE HAUT PARLEUR,4,U,non indiqué (relevé global ACCEO)
13,12,INTERCOM,conduit vide 3/4 (98s),980,P,non indiqué (relevé global ACCEO)
13,12,INTERCOM,conduit vide 3/4 (125s),1250,P,non indiqué (relevé global ACCEO)
13,12,INTERCOM,BOITE CARRE 2-1/8PO KO 1…,95,U,non indiqué (relevé global ACCEO)
13,12,INTERCOM,COUV CARRE 4PO VIERGE,55,U,non indiqué (relevé global ACCEO)
13,12,CABLAGE STRUCTURE,PRIX DE LOT CABLAGE STR[UCTURÉ],1,U,non indiqué (relevé global ACCEO)
13,12,CABLAGE STRUCTURE,tel/data,96,U,non indiqué (relevé global ACCEO)
13,12,CABLAGE STRUCTURE,WIFI,29,U,non indiqué (relevé global ACCEO)
13,12,CABLAGE STRUCTURE,TV,1,U,non indiqué (relevé global ACCEO)
13,12,GRANDS TOTAUX,Grand total coûtant ACCEO ($),677556.45,$,non indiqué (relevé global ACCEO)
13,12,GRANDS TOTAUX,Main-d'oeuvre totale ACCEO,6697.142,h,non indiqué (relevé global ACCEO)
