page_scan,section,objet,quantite,um,vendant_unit,vendant,temps_unit,temps_total,feuille_zone,note
9,LOGEMENT,INT 1 VOIE,2000,U,42.00,84000.00,0.600,1200.000,,
9,LOGEMENT,INT 3 VOIE,600,U,45.00,27000.00,0.600,360.000,,
9,LOGEMENT,drop de chauffage bx2/12,984,U,20.45,20122.80,0.600,590.400,,
9,LOGEMENT,THERMOSTAT,398,U,0.00,0.00,0.350,139.300,,
9,LOGEMENT,B300W 240V,157,U,0.00,0.00,0.400,62.800,,
9,LOGEMENT,B500W 240V,26,U,0.00,0.00,0.400,10.400,,
10,LOGEMENT (suite),B1000W 240V,203,U,0.00,0.00,0.500,101.500,,
10,LOGEMENT (suite),B1250W 240V,46,U,0.00,0.00,0.700,32.200,,
10,LOGEMENT (suite),B1500W 240W,6,U,0.00,0.00,0.800,4.800,,
10,LOGEMENT (suite),RWF1000W 240V,14,U,0.00,0.00,1.000,14.000,,
10,LOGEMENT (suite),RWF1250W 240V,25,U,0.00,0.00,1.000,25.000,,
10,LOGEMENT (suite),RWF1500W 240V,71,U,0.00,0.00,1.000,71.000,,
10,LOGEMENT (suite),"RWF200W 240V (sic, 2000W)",38,U,0.00,0.00,1.000,38.000,,
10,LOGEMENT (suite),BOITE RECT 2-1/2PO OREILI,400,U,6.97,2789.96,0.200,80.000,,
10,LOGEMENT (suite),12AWG 2C ARME ALUM 600V,35000,P,0.95,33169.37,0.025,875.000,,
10,LOGEMENT (suite),SOMMAIRE LOGEMENT,,,,567970.67,,8471.900,,
10,TELEPHONE,conduit vide 2,350 (35s),P,,2432.23,0.084,43.400,,
10,BORNE COND VIDE,CONDUIT VIDE POUR 20 BO (surligné),0,U,0.00,0.00,0.000,0.000,,
10,BORNE COND VIDE,conduit vide 1,3000 (300s),P,,7229.70,0.050,210.000,,
11,SERVICE,prise duplex 15A 120V,35,U,55.83,1954.05,1.175,41.125,,
11,SERVICE,PANN POMPE,2,U,0.00,0.00,0.750,1.500,,
11,SERVICE,CODENSEUR,3,U,15.00,45.00,0.500,1.500,,
11,SERVICE,VENTILATEUR 120V,22,U,15.00,330.00,0.500,11.000,,
11,SERVICE,POMPE 3PH,6,U,25.00,150.00,0.750,4.500,,
11,SERVICE,CHAUFFAGE 120V GAS,2,U,15.00,30.00,0.500,1.000,,
11,SERVICE,conduit 3/4 03c12,3450 (345s),P,,7944.59,0.055,244.950,,
11,SERVICE,conduit 3/4 03c10,650 (65s),P,,1841.31,0.058,48.100,,
11,SERVICE,conduit 1 13c12,330 (330s),P,,2880.57,0.115,103.950,,
11,SERVICE,BOITIER INTERR 30A CEMA,7,U,90.87,636.09,1.000,7.000,,
11,SERVICE,SOMMAIRE SERVICE,,,,15811.61,,464.625,,
11,CAMÉRA (annot. « SI REQUIS AU PLAN ART 14 »),conduit vide 3/4,1250 (125s),P,,1753.48,0.040,70.000,,
11,CAMÉRA (annot. « SI REQUIS AU PLAN ART 14 »),BOITE CARRE 2-1/8PO KO 1.,50,U,6.18,308.89,0.250,12.500,,
11,CAMÉRA (annot. « SI REQUIS AU PLAN ART 14 »),COUV CARRE 4PO VIERGE,50,U,1.50,74.93,0.050,2.500,,
12,LECTEUR CARTE (annot. « SI REQUIS AU PLAN ART 15 »),PORTE,7,U,0.00,0.00,1.500,10.500,,
12,LECTEUR CARTE (annot. « SI REQUIS AU PLAN ART 15 »),conduit vide 3/4,560 (56s),P,,785.56,0.040,31.360,,
12,LECTEUR CARTE (annot. « SI REQUIS AU PLAN ART 15 »),BOITE CARRE 2-1/8PO KO 1.,14,U,6.18,86.49,0.250,3.500,,
12,LECTEUR CARTE (annot. « SI REQUIS AU PLAN ART 15 »),COUV CARRE 4PO VIERGE,14,U,1.50,20.98,0.050,0.700,,
12,LECTEUR CARTE (annot. « SI REQUIS AU PLAN ART 15 »),16AWG 3C BLINDE PVC FT4,1680,P,0.67,1123.40,0.007,11.760,,
12,GRANDS TOTAUX,Coûtant / Prix de vente,,,,1361348.43,,16751.740,,
